host,ip,port,protocol,title,domain,country,city,link,org
123.55.221.196:3478,123.55.221.196,3478,stun,,,CN,Zhoukou,,Chinanet
222.75.163.165:3478,222.75.163.165,3478,stun,,,CN,Yinchuan,,Chinanet
116.7.231.158:3478,116.7.231.158,3478,stun,,,CN,Shenzhen,,Chinanet
112.53.101.243:3478,112.53.101.243,3478,stun,,,CN,Dezhou,,"Henan Mobile Communications Co.,Ltd"
60.208.113.72:3478,60.208.113.72,3478,stun,,,CN,Jinan,,CHINA UNICOM China169 Backbone
124.127.250.208:3478,124.127.250.208,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
27.188.78.100:3478,27.188.78.100,3478,stun,,,CN,Handan,,Chinanet
116.178.205.226:3478,116.178.205.226,3478,stun,,,CN,Beijing,,CHINA UNICOM China169 Backbone
183.215.183.68:3478,183.215.183.68,3478,stun,,,CN,Changsha,,China Mobile communications corporation
120.192.20.76:3478,120.192.20.76,3478,stun,,,CN,Jining,,Shandong Mobile Communication Company Limited
222.243.109.13:3478,222.243.109.13,3478,stun,,,CN,Shaoyang,,Chinanet
120.192.20.78:3478,120.192.20.78,3478,stun,,,CN,Jining,,Shandong Mobile Communication Company Limited
1.181.179.210:3478,1.181.179.210,3478,stun,,,CN,Chifeng,,Chinanet
220.182.56.181:3478,220.182.56.181,3478,stun,,,CN,Lhasa,,Chinanet
106.39.22.78:3478,106.39.22.78,3478,stun,,,CN,Changsha,,China Networks Inter-Exchange
27.189.242.78:3478,27.189.242.78,3478,stun,,,CN,Langfang,,Chinanet
124.164.247.48:3478,124.164.247.48,3478,stun,,,CN,Jincheng,,CHINA UNICOM China169 Backbone
112.4.131.131:3478,112.4.131.131,3478,stun,,,CN,Beijing,,China Mobile communications corporation
210.13.253.15:3478,210.13.253.15,3478,stun,,,CN,Xianyang,,China Unicom Beijing Province Network
121.69.77.14:3478,121.69.77.14,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
182.246.204.13:3478,182.246.204.13,3478,stun,,,CN,Baoshan,,Chinanet
111.75.205.58:3478,111.75.205.58,3478,stun,,,CN,Nanchang,,Chinanet
61.167.79.142:3478,61.167.79.142,3478,stun,,,CN,Harbin,,CHINA UNICOM China169 Backbone
47.93.233.100:3478,47.93.233.100,3478,stun,,,CN,Beijing,,"Hangzhou Alibaba Advertising Co.,Ltd."
222.80.159.18:3478,222.80.159.18,3478,stun,,,CN,Aksu,,Chinanet
120.193.160.162:3478,120.193.160.162,3478,stun,,,CN,Hohhot,,"China Mobile Communications Group Co., Ltd."
119.1.241.34:3478,119.1.241.34,3478,stun,,,CN,Liupanshui,,Chinanet
211.65.96.100:3478,211.65.96.100,3478,stun,,,CN,Beijing,,China Education and Research Network Center
103.254.70.25:3478,103.254.70.25,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
210.22.220.200:3478,210.22.220.200,3478,stun,,,CN,Shanghai,,China Unicom Shanghai network
123.178.141.163:3478,123.178.141.163,3478,stun,,,CN,Baotou,,Chinanet
218.29.110.203:3478,218.29.110.203,3478,stun,,,CN,Zhengzhou,,CHINA UNICOM China169 Backbone
124.114.234.186:3478,124.114.234.186,3478,stun,,,CN,Xi'an,,Chinanet
218.29.14.158:3478,218.29.14.158,3478,stun,,,CN,Nanyang,,CHINA UNICOM China169 Backbone
111.203.63.195:3478,111.203.63.195,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
103.247.163.57:3478,103.247.163.57,3478,stun,,,CN,Hong Kong,,HKBN Enterprise Solutions HK Limited
smartconference.police.gov.hk:3478,103.247.163.57,3478,stun,,police.gov.hk,CN,Hong Kong,,HKBN Enterprise Solutions HK Limited
123.189.134.65:3478,123.189.134.65,3478,stun,,,CN,Fushun,,CHINA UNICOM China169 Backbone
218.23.45.23:3478,218.23.45.23,3478,stun,,,CN,Hefei,,Chinanet
112.30.55.252:3478,112.30.55.252,3478,stun,,,CN,Hefei,,"China Mobile Communications Group Co., Ltd."
220.180.111.31:3478,220.180.111.31,3478,stun,,,CN,Bozhou,,Chinanet
211.143.199.179:3478,211.143.199.179,3478,stun,,,CN,Fuzhou,,"China Mobile Communications Group Co., Ltd."
202.175.116.226:3478,202.175.116.226,3478,stun,,,CN,Macau,,Companhia de Telecomunicacoes de Macau SARL
60.13.27.188:3478,60.13.27.188,3478,stun,,,CN,Lanzhou,,CHINA UNICOM China169 Backbone
223.71.43.10:3478,223.71.43.10,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
116.169.153.41:3478,116.169.153.41,3478,stun,,,CN,Beijing,,CHINA UNICOM China169 Backbone
112.95.166.77:3478,112.95.166.77,3478,stun,,,CN,Shenzhen,,China Unicom Shenzen network
220.241.21.103:3478,220.241.21.103,3478,stun,,,CN,Hong Kong,,PCCW IMS Ltd PCCW Business Internet Access
220.241.21.89:3478,220.241.21.89,3478,stun,,,CN,Hong Kong,,PCCW IMS Ltd PCCW Business Internet Access
60.166.159.222:3478,60.166.159.222,3478,stun,,,CN,Hefei,,Chinanet
222.247.54.183:3478,222.247.54.183,3478,stun,,,CN,Changsha,,Chinanet
61.178.219.250:3478,61.178.219.250,3478,stun,,,CN,Lanzhou,,Chinanet
219.142.112.205:3478,219.142.112.205,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
202.104.114.216:3478,202.104.114.216,3478,stun,,,CN,Guangzhou,,Chinanet
150.117.232.133:3478,150.117.232.133,3478,stun,,,CN,Taipei,,"Peicity Digital Cable Television., LTD"
183.64.110.107:3478,183.64.110.107,3478,stun,,,CN,Chongqing,,Chinanet
58.218.153.107:3478,58.218.153.107,3478,stun,,,CN,Nanjing,,Chinanet
219.143.4.17:3478,219.143.4.17,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
222.171.46.136:3478,222.171.46.136,3478,stun,,,CN,Harbin,,Chinanet
58.117.255.122:3478,58.117.255.122,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
219.149.220.247:3478,219.149.220.247,3478,stun,,,CN,Changchun,,Chinanet
180.154.0.137:3478,180.154.0.137,3478,stun,,,CN,Shanghai,,China Telecom Group
180.154.0.141:3478,180.154.0.141,3478,stun,,,CN,Shanghai,,China Telecom Group
221.228.235.36:3478,221.228.235.36,3478,stun,,,CN,Wuxi,,Chinanet
123.139.243.116:3478,123.139.243.116,3478,stun,,,CN,Xi'an,,CHINA UNICOM China169 Backbone
222.175.242.22:3478,222.175.242.22,3478,stun,,,CN,Zibo,,Chinanet
112.20.185.183:3478,112.20.185.183,3478,stun,,,CN,Beijing,,China Mobile communications corporation
47.104.159.52:3478,47.104.159.52,3478,stun,,,CN,Qingdao,,"Hangzhou Alibaba Advertising Co.,Ltd."
106.120.65.212:3478,106.120.65.212,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
116.252.223.202:3478,116.252.223.202,3478,stun,,,CN,Nanning,,Chinanet
116.236.81.67:3478,116.236.81.67,3478,stun,,,CN,Shanghai,,China Telecom Group
113.105.69.183:3478,113.105.69.183,3478,stun,,,CN,Shenzhen,,Chinanet
210.12.221.42:3478,210.12.221.42,3478,stun,,,CN,Harbin,,China Unicom Beijing Province Network
124.222.144.230:3478,124.222.144.230,3478,stun,,,CN,Shanghai,,Shenzhen Tencent Computer Systems Company Limited
58.20.186.139:3478,58.20.186.139,3478,stun,,,CN,Hengyang,,CHINA UNICOM China169 Backbone
120.211.138.148:3478,120.211.138.148,3478,stun,,,CN,Beijing,,Hebei Mobile Communication Company Limited
39.155.204.194:3478,39.155.204.194,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
222.74.65.100:3478,222.74.65.100,3478,stun,,,CN,Chifeng,,Chinanet
103.208.13.69:3478,103.208.13.69,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
222.92.228.237:3478,222.92.228.237,3478,stun,,,CN,Suzhou,,Chinanet
27.17.1.226:3478,27.17.1.226,3478,stun,,,CN,Wuhan,,Chinanet
58.56.100.14:3478,58.56.100.14,3478,stun,,,CN,Jinan,,Chinanet
49.77.124.108:3478,49.77.124.108,3478,stun,,,CN,Nanjing,,Chinanet
47.94.221.102:3478,47.94.221.102,3478,stun,,,CN,Beijing,,"Hangzhou Alibaba Advertising Co.,Ltd."
113.73.189.85:3478,113.73.189.85,3478,stun,,,CN,Zhongshan,,Chinanet
125.35.215.73:3478,125.35.215.73,3478,stun,,,CN,Tianjin,,CHINA UNICOM China169 Backbone
110.16.66.106:3478,110.16.66.106,3478,stun,,,CN,Baotou,,CHINA UNICOM China169 Backbone
61.143.53.195:3478,61.143.53.195,3478,stun,,,CN,Zhuhai,,Chinanet
122.226.175.126:3478,122.226.175.126,3478,stun,,,CN,Taizhou,,Chinanet
223.100.149.165:3478,223.100.149.165,3478,stun,,,CN,Dalian,,China Mobile communications corporation
222.81.81.48:3478,222.81.81.48,3478,stun,,,CN,Changji,,Chinanet
222.240.200.1:3478,222.240.200.1,3478,stun,,,CN,Changsha,,Chinanet
219.144.161.110:3478,219.144.161.110,3478,stun,,,CN,Beijing,,Chinanet
139.217.108.199:3478,139.217.108.199,3478,stun,,,CN,Beijing,,"Shanghai Blue Cloud Technology Co.,Ltd"
59.42.176.222:3478,59.42.176.222,3478,stun,,,CN,Guangzhou,,Chinanet
58.18.108.24:3478,58.18.108.24,3478,stun,,,CN,Ulanqab,,UNICOM InnerMongolia province network
219.144.51.66:3478,219.144.51.66,3478,stun,,,CN,Yan'an,,Chinanet
183.6.182.245:3478,183.6.182.245,3478,stun,,,CN,Guangzhou,,Chinanet
120.238.39.19:3478,120.238.39.19,3478,stun,,,CN,Guangzhou,,China Mobile communications corporation
103.254.69.58:3478,103.254.69.58,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
218.26.254.28:3478,218.26.254.28,3478,stun,,,CN,Linfen,,CHINA UNICOM China169 Backbone
111.204.193.82:3478,111.204.193.82,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
113.128.194.229:3478,113.128.194.229,3478,stun,,,CN,Jinan,,Chinanet
139.170.40.84:3478,139.170.40.84,3478,stun,,,CN,Xining,,CHINA UNICOM China169 Backbone
121.13.237.67:3478,121.13.237.67,3478,stun,,,CN,Dongguan,,Chinanet
211.145.78.195:3478,211.145.78.195,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
14.21.7.142:3478,14.21.7.142,3478,stun,,,CN,Meizhou,,Chinanet
114.242.71.4:3478,114.242.71.4,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
111.40.45.126:3478,111.40.45.126,3478,stun,,,CN,Beijing,,HeiLongJiang Mobile Communication Company Limited
222.92.102.252:3478,222.92.102.252,3478,stun,,,CN,Suzhou,,Chinanet
218.205.185.11:3478,218.205.185.11,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
202.143.16.74:3478,202.143.16.74,3478,stun,,,CN,Shanghai,,ASN for TIANJIN Provincial Net of CT
183.243.202.28:3478,183.243.202.28,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
222.249.228.235:3478,222.249.228.235,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
120.236.103.165:3478,120.236.103.165,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
58.60.61.211:3478,58.60.61.211,3478,stun,,,CN,Guangzhou,,Chinanet
183.203.184.99:3478,183.203.184.99,3478,stun,,,CN,Jincheng,,China Mobile communications corporation
1.180.198.46:3478,1.180.198.46,3478,stun,,,CN,Ordos,,Chinanet
119.36.136.228:3478,119.36.136.228,3478,stun,,,CN,Yichang,,CHINA UNICOM China169 Backbone
1.202.28.194:3478,1.202.28.194,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
59.49.55.44:3478,59.49.55.44,3478,stun,,,CN,Taiyuan,,Chinanet
218.60.152.222:3478,218.60.152.222,3478,stun,,,CN,Shenyang,,CHINA UNICOM China169 Backbone
210.3.41.57:3478,210.3.41.57,3478,stun,,,CN,Hong Kong,,HGC Global Communications Limited
211.142.61.38:3478,211.142.61.38,3478,stun,,,CN,Jincheng,,China Mobile communications corporation
124.117.240.76:3478,124.117.240.76,3478,stun,,,CN,Changji,,Chinanet
223.75.183.135:3478,223.75.183.135,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
222.185.250.55:3478,222.185.250.55,3478,stun,,,CN,Changzhou,,Chinanet
103.17.75.21:3478,103.17.75.21,3478,stun,,,CN,Hong Kong,,HKBN Enterprise Solutions HK Limited
124.220.24.118:3478,124.220.24.118,3478,unknown,,,CN,Beijing,,Shenzhen Tencent Computer Systems Company Limited
39.153.179.230:3478,39.153.179.230,3478,stun,,,CN,Baotou,,"China Mobile Communications Group Co., Ltd."
61.134.38.70:3478,61.134.38.70,3478,stun,,,CN,Hanzhong,,Chinanet
222.81.35.150:3478,222.81.35.150,3478,stun,,,CN,Tacheng,,Chinanet
114.66.23.40:3478,114.66.23.40,3478,stun,,,CN,Beijing,,"NINGBO, ZHEJIANG Province, P.R.China."
60.28.135.218:3478,60.28.135.218,3478,stun,,,CN,Tianjin,,CHINA UNICOM China169 Backbone
168.160.168.127:3478,168.160.168.127,3478,stun,,,CN,Beijing,,"Information Center, Ministry of Sci and Tech"
113.109.249.48:3478,113.109.249.48,3478,stun,,,CN,Guangzhou,,Chinanet
218.244.247.159:3478,218.244.247.159,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
223.107.144.230:3478,223.107.144.230,3478,stun,,,CN,Beijing,,China Mobile communications corporation
123.139.231.46:3478,123.139.231.46,3478,stun,,,CN,Xi'an,,CHINA UNICOM China169 Backbone
123.127.217.155:3478,123.127.217.155,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
116.169.105.18:3478,116.169.105.18,3478,stun,,,CN,Beijing,,CHINA UNICOM China169 Backbone
60.170.202.198:3478,60.170.202.198,3478,stun,,,CN,Bengbu,,Chinanet
220.163.113.114:3478,220.163.113.114,3478,stun,,,CN,Kunming,,Chinanet
113.106.87.166:3478,113.106.87.166,3478,stun,,,CN,Shenzhen,,Chinanet
112.91.213.146:3478,112.91.213.146,3478,stun,,,CN,Chaozhou,,China Unicom IP network China169 Guangdong province
220.180.239.241:3478,220.180.239.241,3478,stun,,,CN,Hefei,,Chinanet
111.202.230.148:3478,111.202.230.148,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
114.255.180.31:3478,114.255.180.31,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
222.28.83.32:3478,222.28.83.32,3478,stun,,,CN,Beijing,,China Education and Research Network Center
111.160.87.135:3478,111.160.87.135,3478,stun,,,CN,Tianjin,,CHINA UNICOM China169 Backbone
219.157.200.126:3478,219.157.200.126,3478,stun,,,CN,Zhengzhou,,CHINA UNICOM China169 Backbone
1.30.162.20:3478,1.30.162.20,3478,stun,,,CN,Hohhot,,CHINA UNICOM China169 Backbone
219.145.175.237:3478,219.145.175.237,3478,stun,,,CN,Weinan,,Chinanet
121.15.212.34:3478,121.15.212.34,3478,stun,,,CN,Guangzhou,,Chinanet
123.125.162.121:3478,123.125.162.121,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
61.185.76.173:3478,61.185.76.173,3478,stun,,,CN,Weinan,,Chinanet
210.12.221.39:3478,210.12.221.39,3478,stun,,,CN,Harbin,,China Unicom Beijing Province Network
218.206.237.227:3478,218.206.237.227,3478,stun,,,CN,Zhengzhou,,"Henan Mobile Communications Co.,Ltd"
114.255.93.227:3478,114.255.93.227,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
220.171.43.100:3478,220.171.43.100,3478,stun,,,CN,Changji,,Chinanet
219.142.210.35:3478,219.142.210.35,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
116.205.32.104:3478,116.205.32.104,3478,stun,,,CN,Beijing,,Huawei Cloud Service data center
110.16.109.67:3478,110.16.109.67,3478,stun,,,CN,Baotou,,CHINA UNICOM China169 Backbone
58.251.18.54:3478,58.251.18.54,3478,stun,,,CN,Shenzhen,,China Unicom Shenzen network
47.122.21.80:3478,47.122.21.80,3478,stun,,,CN,Nanjing,,"Hangzhou Alibaba Advertising Co.,Ltd."
175.178.8.93:3478,175.178.8.93,3478,stun,,,CN,Guangzhou,,Shenzhen Tencent Computer Systems Company Limited
112.5.22.87:3478,112.5.22.87,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
221.11.35.155:3478,221.11.35.155,3478,stun,,,CN,Xi'an,,CHINA UNICOM China169 Backbone
106.120.213.146:3478,106.120.213.146,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
123.54.69.105:3478,123.54.69.105,3478,stun,,,CN,Jiaozuo,,Chinanet
202.205.176.71:3478,202.205.176.71,3478,stun,,,CN,Beijing,,China Education and Research Network Center
183.64.97.99:3478,183.64.97.99,3478,stun,,,CN,Chongqing,,Chinanet
223.84.236.28:3478,223.84.236.28,3478,stun,,,CN,Ji'an,,China Mobile communications corporation
121.199.75.238:3478,121.199.75.238,3478,stun,,,CN,Hangzhou,,"Hangzhou Alibaba Advertising Co.,Ltd."
218.28.185.187:3478,218.28.185.187,3478,stun,,,CN,Zhengzhou,,CHINA UNICOM China169 Backbone
171.223.110.60:3478,171.223.110.60,3478,stun,,,CN,Chengdu,,Chinanet
223.99.166.100:3478,223.99.166.100,3478,stun,,,CN,Beijing,,Shandong Mobile Communication Company Limited
139.170.40.101:3478,139.170.40.101,3478,stun,,,CN,Xining,,CHINA UNICOM China169 Backbone
222.177.67.181:3478,222.177.67.181,3478,stun,,,CN,Chongqing,,Chinanet
58.255.83.188:3478,58.255.83.188,3478,stun,,,CN,Dongguan,,China Unicom IP network China169 Guangdong province
111.227.34.113:3478,111.227.34.113,3478,stun,,,CN,Tangshan,,Chinanet
221.10.42.155:3478,221.10.42.155,3478,stun,,,CN,Barkam,,CHINA UNICOM China169 Backbone
111.203.176.108:3478,111.203.176.108,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
58.215.12.178:3478,58.215.12.178,3478,stun,,,CN,Wuxi,,Chinanet
111.198.158.97:3478,111.198.158.97,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
180.159.86.2:3478,180.159.86.2,3478,stun,,,CN,Shanghai,,China Telecom Group
111.203.60.7:3478,111.203.60.7,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
221.239.44.235:3478,221.239.44.235,3478,stun,,,CN,Tianjin,,ASN for TIANJIN Provincial Net of CT
61.183.176.131:3478,61.183.176.131,3478,stun,,,CN,Wuhan,,Chinanet
124.67.71.131:3478,124.67.71.131,3478,stun,,,CN,Ordos,,CHINA UNICOM China169 Backbone
223.254.128.13:3478,223.254.128.13,3478,stun,,,CN,Hong Kong,,"CONRADIT, LLC"
58.220.131.75:3478,58.220.131.75,3478,stun,,,CN,Yangzhou,,Chinanet
111.207.155.145:3478,111.207.155.145,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
111.203.21.252:3478,111.203.21.252,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
222.189.50.156:3478,222.189.50.156,3478,stun,,,CN,Lianyungang,,Chinanet
106.44.247.78:3478,106.44.247.78,3478,stun,,,CN,Baoji,,Chinanet
211.64.127.144:3478,211.64.127.144,3478,stun,,,CN,Beijing,,China Education and Research Network Center
220.168.156.95:3478,220.168.156.95,3478,stun,,,CN,Yiyang,,Chinanet
124.127.54.29:3478,124.127.54.29,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
116.236.243.14:3478,116.236.243.14,3478,stun,,,CN,Shanghai,,China Telecom Group
123.124.150.40:3478,123.124.150.40,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
61.169.153.206:3478,61.169.153.206,3478,stun,,,CN,Shanghai,,China Telecom Group
58.250.123.78:3478,58.250.123.78,3478,stun,,,CN,Shenzhen,,China Unicom Shenzen network
220.168.56.36:3478,220.168.56.36,3478,stun,,,CN,Changsha,,Chinanet
222.178.117.194:3478,222.178.117.194,3478,stun,,,CN,Chongqing,,Chinanet
180.166.126.222:3478,180.166.126.222,3478,stun,,,CN,Shanghai,,China Telecom Group
61.189.159.169:3478,61.189.159.169,3478,stun,,,CN,Guiyang,,Chinanet
111.198.137.40:3478,111.198.137.40,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
112.46.102.41:3478,112.46.102.41,3478,stun,,,CN,Xianyang,,"China Mobile Communications Group Co., Ltd."
60.194.14.109:3478,60.194.14.109,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
220.249.96.186:3478,220.249.96.186,3478,stun,,,CN,Wuhan,,CHINA UNICOM China169 Backbone
60.164.96.159:3478,60.164.96.159,3478,stun,,,CN,Qingyang,,Chinanet
203.85.27.39:3478,203.85.27.39,3478,stun,,,CN,Hong Kong,,CITIC Telecom International CPC Limited
36.7.110.191:3478,36.7.110.191,3478,stun,,,CN,Hefei,,Chinanet
117.107.128.242:3478,117.107.128.242,3478,stun,,,CN,Beijing,,"IDC, China Telecommunications Corporation"
110.191.237.73:3478,110.191.237.73,3478,stun,,,CN,Chengdu,,Chinanet
61.183.145.11:3478,61.183.145.11,3478,stun,,,CN,Wuhan,,Chinanet
218.205.185.4:3478,218.205.185.4,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
61.167.36.154:3478,61.167.36.154,3478,stun,,,CN,Harbin,,CHINA UNICOM China169 Backbone
111.205.83.78:3478,111.205.83.78,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
114.246.33.193:3478,114.246.33.193,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
220.169.97.24:3478,220.169.97.24,3478,stun,,,CN,Huaihua,,Chinanet
113.200.81.157:3478,113.200.81.157,3478,stun,,,CN,Xi'an,,CHINA UNICOM China169 Backbone
113.108.240.93:3478,113.108.240.93,3478,stun,,,CN,Guangzhou,,Chinanet
61.183.212.173:3478,61.183.212.173,3478,stun,,,CN,Wuhan,,Chinanet
120.194.198.183:3478,120.194.198.183,3478,stun,,,CN,Puyang,,"Henan Mobile Communications Co.,Ltd"
101.33.208.63:3478,101.33.208.63,3478,stun,,,CN,Guangzhou,,Shenzhen Tencent Computer Systems Company Limited
43.226.37.7:3478,43.226.37.7,3478,stun,,,CN,Guangzhou,,CHINANET Liaoning province Dalian MAN network
124.163.249.7:3478,124.163.249.7,3478,stun,,,CN,Xinzhou,,CHINA UNICOM China169 Backbone
60.174.248.119:3478,60.174.248.119,3478,stun,,,CN,Hefei,,Chinanet
202.181.172.190:3478,202.181.172.190,3478,stun,,,CN,Hong Kong,,HongKong Commercial Internet Exchange
119.164.214.181:3478,119.164.214.181,3478,stun,,,CN,Jinan,,CHINA UNICOM China169 Backbone
117.187.12.250:3478,117.187.12.250,3478,stun,,,CN,Guiyang,,"China Mobile Communications Group Co., Ltd."
123.5.154.27:3478,123.5.154.27,3478,stun,,,CN,Luoyang,,CHINA UNICOM China169 Backbone
58.135.200.216:3478,58.135.200.216,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
117.131.158.35:3478,117.131.158.35,3478,stun,,,CN,Tianjin,,tianjin Mobile Communication Company Limited
218.6.55.33:3478,218.6.55.33,3478,stun,,,CN,Nanping,,Chinanet
117.190.232.233:3478,117.190.232.233,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
218.88.164.157:3478,218.88.164.157,3478,stun,,,CN,Nanchong,,Chinanet
124.127.244.209:3478,124.127.244.209,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
119.62.42.80:3478,119.62.42.80,3478,stun,,,CN,Kunming,,CHINA UNICOM China169 Backbone
121.28.104.234:3478,121.28.104.234,3478,stun,,,CN,Shijiazhuang,,CHINA UNICOM China169 Backbone
218.18.103.41:3478,218.18.103.41,3478,stun,,,CN,Guangzhou,,Chinanet
swsrmyy.do-it.cn:3478,222.81.35.150,3478,stun,,do-it.cn,CN,Tacheng,,Chinanet
60.255.179.60:3478,60.255.179.60,3478,stun,,,CN,Chengdu,,CHINA UNICOM China169 Backbone
36.152.29.71:3478,36.152.29.71,3478,stun,,,CN,Nanjing,,China Mobile communications corporation
112.243.101.215:3478,112.243.101.215,3478,stun,,,CN,Weifang,,CHINA UNICOM China169 Backbone
218.77.181.27:3478,218.77.181.27,3478,stun,,,CN,Haikou,,Chinanet
1.199.41.175:3478,1.199.41.175,3478,stun,,,CN,Luohe,,Chinanet
111.52.250.143:3478,111.52.250.143,3478,stun,,,CN,Beijing,,China Mobile communications corporation
119.187.146.98:3478,119.187.146.98,3478,stun,,,CN,Jinan,,CHINA UNICOM China169 Backbone
60.16.40.63:3478,60.16.40.63,3478,stun,,,CN,Shenyang,,CHINA UNICOM China169 Backbone
218.17.128.100:3478,218.17.128.100,3478,stun,,,CN,Shenzhen,,Chinanet
bag.leos.site:3478,113.109.249.48,3478,stun,,leos.site,CN,Guangzhou,,Chinanet
leos.site:3478,113.109.249.48,3478,stun,,leos.site,CN,Guangzhou,,Chinanet
61.189.240.214:3478,61.189.240.214,3478,stun,,,CN,Bijie,,Chinanet
222.85.214.95:3478,222.85.214.95,3478,stun,,,CN,Guiyang,,Chinanet
219.142.7.68:3478,219.142.7.68,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
120.224.140.25:3478,120.224.140.25,3478,stun,,,CN,Beijing,,Shandong Mobile Communication Company Limited
219.226.240.68:3478,219.226.240.68,3478,stun,,,CN,Beijing,,China Education and Research Network Center
218.29.99.178:3478,218.29.99.178,3478,stun,,,CN,Zhengzhou,,CHINA UNICOM China169 Backbone
124.152.39.156:3478,124.152.39.156,3478,stun,,,CN,Lanzhou,,CHINA UNICOM China169 Backbone
223.255.133.202:3478,223.255.133.202,3478,stun,,,CN,Hong Kong,,HKBN Enterprise Solutions HK Limited
125.215.37.61:3478,125.215.37.61,3478,stun,,,CN,Hangzhou,,shanghai science and technology network communication limited company
118.122.115.62:3478,118.122.115.62,3478,stun,,,CN,Chengdu,,Chinanet
117.135.202.21:3478,117.135.202.21,3478,stun,,,CN,Guiyang,,"China Mobile Communications Group Co., Ltd."
118.213.37.179:3478,118.213.37.179,3478,stun,,,CN,Xining,,Qinghai Telecom
219.142.7.67:3478,219.142.7.67,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
119.32.29.158:3478,119.32.29.158,3478,stun,,,CN,Guangzhou,,CHINANET Guangdong province Guangzhou MAN network
218.24.10.171:3478,218.24.10.171,3478,stun,,,CN,Anshan,,CHINA UNICOM China169 Backbone
117.72.15.22:3478,117.72.15.22,3478,unknown,,,CN,Beijing,,China Telecom Beijing Tianjin Hebei Big Data Industry Park Branch
222.16.166.112:3478,222.16.166.112,3478,stun,,,CN,Guangzhou,,China Education and Research Network Center
183.134.212.166:3478,183.134.212.166,3478,stun,,,CN,Hangzhou,,Chinanet
58.33.114.155:3478,58.33.114.155,3478,stun,,,CN,Shanghai,,China Telecom Group
60.191.55.131:3478,60.191.55.131,3478,stun,,,CN,Hangzhou,,Chinanet
221.214.120.136:3478,221.214.120.136,3478,stun,,,CN,Jinan,,CHINA UNICOM China169 Backbone
60.214.234.225:3478,60.214.234.225,3478,stun,,,CN,Jinan,,CHINA UNICOM China169 Backbone
106.39.88.152:3478,106.39.88.152,3478,stun,,,CN,Changsha,,China Networks Inter-Exchange
219.150.205.36:3478,219.150.205.36,3478,stun,,,CN,Pingdingshan,,Chinanet
111.203.218.161:3478,111.203.218.161,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
157.0.29.171:3478,157.0.29.171,3478,stun,,,CN,Nanjing,,CHINA UNICOM China169 Backbone
110.53.188.3:3478,110.53.188.3,3478,stun,,,CN,Changsha,,CHINA UNICOM China169 Backbone
106.38.40.85:3478,106.38.40.85,3478,stun,,,CN,Changsha,,China Networks Inter-Exchange
